#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.10e+07  |1564881583|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.76855202|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.01292418|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.69776195|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.26816365|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.69097657|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.50868222|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.33054297|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.07296283|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.22342156|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.92958011|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.89481143|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.86717728|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.05974146|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.67919803|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.03858909|  PASSED  
             dab_dct| 256|     50000|       1|0.88428705|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.71772510|  PASSED  
        dab_filltree|  32|  15000000|       1|0.07174330|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.25323556|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.70593468|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.61524457|  PASSED 
